Disease,Training Method,Synthetic %,Train Size,Test Size,Holdout Acc,Holdout Prec,Holdout Rec,Holdout F1,CV Acc Mean,CV Acc Std,CV F1 Mean,CV F1 Std,CV Rec Mean,CV Prec Mean,CM
Anemia,Real Only,0%,284,71,1.0,1.0,1.0,1.0,0.9549,0.0164,0.9602,0.0145,0.951,0.9702,"[[30, 0], [0, 41]]"
Anemia,Real + 25% Synthetic,25%,354,71,1.0,1.0,1.0,1.0,0.9577,0.0089,0.9628,0.0079,0.9559,0.9708,"[[30, 0], [0, 41]]"
Anemia,Real + 50% Synthetic,50%,426,71,1.0,1.0,1.0,1.0,0.9521,0.0144,0.9581,0.0128,0.9609,0.9563,"[[30, 0], [0, 41]]"
Anemia,Real + 100% Synthetic,100%,568,71,0.9859,1.0,0.9756,0.9877,0.9352,0.0113,0.9432,0.0099,0.9411,0.9465,"[[30, 0], [1, 40]]"
Dengue,Real Only,0%,791,198,0.9293,0.9323,0.9612,0.9466,0.913,0.0236,0.9346,0.0177,0.9549,0.9153,"[[60, 9], [5, 124]]"
Dengue,Real + 25% Synthetic,25%,989,198,0.9242,0.9254,0.9612,0.943,0.916,0.0198,0.9367,0.0152,0.9549,0.9193,"[[59, 10], [5, 124]]"
Dengue,Real + 50% Synthetic,50%,1187,198,0.9242,0.9254,0.9612,0.943,0.914,0.021,0.9353,0.0159,0.9549,0.9166,"[[59, 10], [5, 124]]"
Dengue,Real + 100% Synthetic,100%,1582,198,0.9242,0.9254,0.9612,0.943,0.916,0.0198,0.9367,0.0152,0.9549,0.9193,"[[59, 10], [5, 124]]"
Liver,Real Only,0%,456,114,0.7281,0.7404,0.9506,0.8324,0.693,0.0294,0.7969,0.0216,0.8473,0.7533,"[[6, 27], [4, 77]]"
Liver,Real + 25% Synthetic,25%,570,114,0.7018,0.7282,0.9259,0.8152,0.693,0.0396,0.7916,0.0285,0.82,0.7659,"[[5, 28], [6, 75]]"
Liver,Real + 50% Synthetic,50%,684,114,0.6842,0.7273,0.8889,0.8,0.6632,0.0371,0.7676,0.0242,0.7807,0.7558,"[[6, 27], [9, 72]]"
Liver,Real + 100% Synthetic,100%,912,114,0.6667,0.7129,0.8889,0.7912,0.6702,0.0609,0.7636,0.0447,0.7487,0.7799,"[[4, 29], [9, 72]]"
Thyroid,Real Only,0%,172,43,1.0,1.0,1.0,1.0,0.9581,0.0309,0.9363,0.0482,0.9063,0.9817,"[[30, 0, 0], [0, 7, 0], [0, 0, 6]]"
Thyroid,Real + 25% Synthetic,25%,215,43,1.0,1.0,1.0,1.0,0.9628,0.0237,0.9412,0.0384,0.9143,0.9835,"[[30, 0, 0], [0, 7, 0], [0, 0, 6]]"
Thyroid,Real + 50% Synthetic,50%,258,43,1.0,1.0,1.0,1.0,0.9581,0.0309,0.9363,0.0482,0.9063,0.9817,"[[30, 0, 0], [0, 7, 0], [0, 0, 6]]"
Thyroid,Real + 100% Synthetic,100%,344,43,0.9767,0.9892,0.9444,0.9642,0.9488,0.0309,0.9208,0.0513,0.893,0.971,"[[30, 0, 0], [0, 7, 0], [1, 0, 5]]"
